"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Run/Debug","Run Node Application","Ctrl+R","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Edit","Format Active Elements","Ctrl+I","Editing PHP source"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Edit","Select Previous Element","Alt+Shift+Left","Editing PHP source"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"File","Rename","F2","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Edit","Format JSON","Ctrl+Shift+F","JSON editor"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"File","Save","Ctrl+S","In Windows"
"File","New","Ctrl+N","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"View","Zoom Out","Ctrl+-","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","Chromium Debug"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing PHP source"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Refactor - PHP","Move - Refactoring ","Alt+Shift+V","Editing PHP source"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"Source","Show Refactor Quick Menu","Ctrl+Alt+T","Editing PHP source"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Navigate","Open Declaration","F3","In Windows"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Edit","Show Tooltip Description","F2","Editing PHP source"
